country,PC1,PC2,PC3,cluster
Afghanistan,-2.637440906363771,1.469038339731874,-0.5413592833653508,0
Angola,-2.7245212154988367,2.1745822834192765,0.6066867679063622,0
Benin,-2.3659860723272534,1.1684597790378835,-1.2352573167356222,0
Botswana,-1.1309590640931169,0.3967830262152999,-0.23930412780503252,0
Burkina Faso,-2.7538734100481377,1.6623283651273997,-0.8385309619736255,0
Burundi,-2.7640673009034398,1.627038723553048,-0.2895019955655018,0
Cameroon,-2.44142990631374,1.283682192229471,-1.2185698410749952,0
Chad,-3.188892654617235,2.352277978863778,-1.0634637958221924,0
Comoros,-1.9499125342471364,0.6045866662114426,-0.7688601886962717,0
"Congo, Dem. Rep.",-3.1167985617181597,2.1715045419821086,0.3655321985175388,0
"Congo, Rep.",-2.0477645705995284,1.0886446444830198,0.7152294870187881,0
Cote d'Ivoire,-2.5747602461898182,1.4939383481964947,-0.9501911502127471,0
Equatorial Guinea,-1.055773984675047,2.6968913467973024,1.0736482781486223,0
Eritrea,-1.948489684679103,0.4935179354082464,-0.04070684557221162,0
Gabon,-1.2828018476363716,0.850735141491447,0.5227878411826303,0
Gambia,-2.1053354002996025,0.8251370237386716,-0.7458764613331829,0
Ghana,-2.002412453409573,0.7518988266821595,0.3658040451013442,0
Guinea,-2.714366679082432,1.613530761638221,0.038110998758342965,0
Guinea-Bissau,-2.610881271675335,1.401831594065539,-1.1927478346552138,0
Iraq,-1.1975552815389254,0.36692657951309515,0.6777866525543036,0
Kenya,-1.7375495224834459,0.28071688856731863,-0.8738849673654344,0
Kiribati,-1.667715691569102,0.2327269299199251,-0.970327190359534,0
Lao,-1.6379868883580526,0.23858814815971327,-0.218411898145832,0
Lesotho,-2.4364370893306986,1.1533076196573875,-1.1689343666944643,0
Liberia,-2.259201223167247,0.9319439242909752,-0.7635063236957466,0
Madagascar,-1.997194603143291,0.5538437979370605,-0.3389490963084121,0
Malawi,-2.7109981255107893,1.4943962706536509,-0.3589714459248216,0
Mali,-2.9471440630405157,2.008530075047266,-1.12382166955333,0
Mauritania,-2.1147948900360394,1.0460827614680899,0.593506145901998,0
Mozambique,-2.732676955157122,1.5423207212763608,-0.7760597010751308,0
Namibia,-1.3359732143664278,0.4124530330650051,-0.7614969168658381,0
Niger,-3.0634938956976128,2.10345245611466,-1.2960129638468878,0
Pakistan,-1.8627189619183149,0.5666590560416189,-0.1048907514615039,0
Rwanda,-1.7484117085322348,0.2588098987590313,-0.8079404994112487,0
Senegal,-1.8627194545198684,0.49365442727351966,-0.9177583373430827,0
Sierra Leone,-3.227047739111711,2.3162272361920055,-0.11959147346586893,0
Solomon Islands,-1.5175467110312704,0.01427150444762369,-0.35763660227781185,0
South Africa,-1.179847523038125,0.3492934266023433,-0.5333536649240161,0
Sudan,-2.0168691021799923,0.8513367867703953,0.6976480306698339,0
Tanzania,-2.278343529914397,1.0059154652551212,-0.3978302156489141,0
Togo,-2.2452742517333797,0.9013845419268384,-1.1866660801577251,0
Uganda,-2.622500367361833,1.460536116197011,-0.4037611742082713,0
Yemen,-1.801540781144744,0.5908352669673083,1.1777654867221823,0
Zambia,-2.6466119845616416,1.5680660296949918,-0.17403208094982922,0
Central African Republic,-3.2415305016028366,2.1713395144378644,-1.604324542504637,0
Haiti,-3.94496033722103,3.025280927560889,-1.7911107302634737,0
Nigeria,-3.9305082085924115,3.841565449147415,7.86649103062559,0
Timor-Leste,-2.0065420172528152,1.0920923758154177,1.3916986984687856,0
